COUNTY,Year:,Pasture condition:,Browse condition:,Cattle body condition:,Goats body condition:,_id,_validation_status,_notes,_submitted_by,_tags,_index
Baringo,2019.6129032258063,2.2903225806451615,2.4193548387096775,2.3870967741935485,2.3870967741935485,246461088.48387095,,,,,339.9032258064516
Embu,2019.7586206896551,2.1379310344827585,2.206896551724138,2.4482758620689653,2.6551724137931036,246467531.86206895,,,,,347.37931034482756
Garissa,2019.7857142857142,2.0,2.0357142857142856,2.1785714285714284,2.3214285714285716,246431130.82142857,,,,,324.67857142857144
Isiolo,2019.851851851852,1.962962962962963,1.9259259259259258,2.259259259259259,2.259259259259259,246420078.5925926,,,,,320.0740740740741
Kajiado,2019.7857142857142,2.3214285714285716,2.5,2.5357142857142856,2.7142857142857144,246434925.60714287,,,,,328.7142857142857
Kilifi,2019.7857142857142,2.2857142857142856,2.357142857142857,2.357142857142857,2.4285714285714284,246464049.82142857,,,,,345.7142857142857
Kitui,2019.8148148148148,2.111111111111111,2.3333333333333335,2.4444444444444446,2.5185185185185186,246431470.03703704,,,,,325.44444444444446
Kwale,2019.7407407407406,2.2962962962962963,2.4074074074074074,2.5555555555555554,2.5925925925925926,246465722.7777778,,,,,346.2962962962963
Laikipia,2019.8461538461538,2.1538461538461537,2.5,2.269230769230769,2.3076923076923075,246438871.03846154,,,,,332.88461538461536
Lamu,2019.7857142857142,2.3214285714285716,2.357142857142857,2.0357142857142856,2.142857142857143,246465699.60714287,,,,,348.10714285714283
Makueni,2019.7857142857142,2.1785714285714284,2.2142857142857144,2.5357142857142856,2.642857142857143,246452223.0,,,,,338.5357142857143
Mandera,2019.7,1.8333333333333333,1.9333333333333333,2.1333333333333333,2.3666666666666667,246448104.8,,,,,332.46666666666664
Marsabit,2019.7241379310344,2.2758620689655173,2.3793103448275863,2.3448275862068964,2.3793103448275863,246442988.79310346,,,,,332.7241379310345
Meru,2019.7857142857142,2.1785714285714284,2.25,2.607142857142857,2.5714285714285716,246453992.67857143,,,,,340.32142857142856
Narok,2019.7777777777778,2.5185185185185186,2.6666666666666665,2.5925925925925926,2.6296296296296298,246477325.37037036,,,,,359.037037037037
Nyeri,2019.7857142857142,2.107142857142857,2.1785714285714284,2.25,2.4285714285714284,246454816.39285713,,,,,341.75
Samburu,2019.7857142857142,2.2857142857142856,2.4285714285714284,2.4285714285714284,2.5357142857142856,246429227.2857143,,,,,322.42857142857144
Taita taveta,2019.7857142857142,2.607142857142857,2.642857142857143,2.857142857142857,2.857142857142857,246466325.4642857,,,,,349.39285714285717
Tana river,2019.7857142857142,1.9642857142857142,2.0714285714285716,2.1785714285714284,2.25,246433977.07142857,,,,,327.35714285714283
Tharaka nithi,2019.7857142857142,2.1785714285714284,2.392857142857143,2.4642857142857144,2.5714285714285716,246445181.5357143,,,,,333.42857142857144
Turkana,2019.607142857143,2.0357142857142856,2.5,2.3214285714285716,2.357142857142857,246483423.17857143,,,,,345.4642857142857
Wajir,2019.6666666666667,2.033333333333333,2.1333333333333333,2.2333333333333334,2.2,246443798.86666667,,,,,329.6
West pokot,2019.7857142857142,2.607142857142857,2.7142857142857144,2.607142857142857,2.607142857142857,246448118.07142857,,,,,334.85714285714283
